session_id,nt_count,trans2_count,duration,label
../data/processed/csv/attack\attacktraffic12.csv_34.36.137.203_192.168.138.181_nan,0,0,2.118608,0
../data/processed/csv/attack\attacktraffic12.csv_35.161.33.12_192.168.138.181_443.0,0,0,0.84233,0
../data/processed/csv/attack\attacktraffic12.csv_nan_nan_nan,0,0,254.057687,0
../data/processed/csv/attack\attacktraffic13.csv_192.168.138.181_192.168.138.184_33133.0,0,0,0.029495,0
../data/processed/csv/attack\attacktraffic13.csv_192.168.138.181_192.168.138.184_33553.0,0,0,0.015447,0
../data/processed/csv/attack\attacktraffic13.csv_192.168.138.181_192.168.138.184_34177.0,0,0,0.081134,0
../data/processed/csv/attack\attacktraffic13.csv_192.168.138.181_192.168.138.184_36065.0,0,0,0.010498,0
../data/processed/csv/attack\attacktraffic13.csv_192.168.138.181_192.168.138.184_36095.0,0,0,0.078703,0
../data/processed/csv/attack\attacktraffic13.csv_192.168.138.181_192.168.138.184_36181.0,0,0,0.000649,0
../data/processed/csv/attack\attacktraffic13.csv_192.168.138.181_192.168.138.184_36385.0,0,0,0.083131,0
../data/processed/csv/attack\attacktraffic13.csv_192.168.138.181_192.168.138.184_37949.0,1,8,10.18381,1
../data/processed/csv/attack\attacktraffic13.csv_192.168.138.181_192.168.138.184_38101.0,0,0,0.046803,0
../data/processed/csv/attack\attacktraffic13.csv_192.168.138.181_192.168.138.184_38267.0,0,0,0.008041,0
../data/processed/csv/attack\attacktraffic13.csv_192.168.138.181_192.168.138.184_38661.0,0,0,0.0112,0
../data/processed/csv/attack\attacktraffic13.csv_192.168.138.181_192.168.138.184_38837.0,0,0,0.070292,0
../data/processed/csv/attack\attacktraffic13.csv_192.168.138.181_192.168.138.184_39249.0,0,0,0.076279,0
../data/processed/csv/attack\attacktraffic13.csv_192.168.138.181_192.168.138.184_41191.0,0,1,0.969018,0
../data/processed/csv/attack\attacktraffic13.csv_192.168.138.181_192.168.138.184_41337.0,0,0,0.073441,0
../data/processed/csv/attack\attacktraffic13.csv_192.168.138.181_192.168.138.184_42137.0,0,0,0.008779,0
../data/processed/csv/attack\attacktraffic13.csv_192.168.138.181_192.168.138.184_42367.0,0,0,0.014528,0
